,timestep,reward
0,1.0,16.85432337423157
1,2.0,19.68771535494212
2,3.0,13.290444110148075
3,4.0,5.018588597481303
4,5.0,5.054823455303238
5,6.0,5.799668636268999
6,7.0,5.095110984473823
7,8.0,2.9359441213307824
8,9.0,0.827000020534677
9,10.0,-1.6794028188795505
10,11.0,-3.051918024875456
11,12.0,-4.911329941149746
12,13.0,-7.168739304600899
13,14.0,-9.719135049465878
14,15.0,-11.96363352150639
15,16.0,-13.133531540683215
16,17.0,-13.203831019041205
17,18.0,-13.200199159460048
18,19.0,-13.656173584072103
19,20.0,-13.879295646418555
20,21.0,-14.831063561185944
21,22.0,-15.62004784623658
22,23.0,-16.556761013120383
23,24.0,-17.905259541790777
24,25.0,-18.847748871553925
25,26.0,-19.2180432820777
26,27.0,-19.959266501502338
27,28.0,-21.455097579046708
28,29.0,-22.457149792533695
29,30.0,-23.99280892507291
30,31.0,-25.105848420685497
31,32.0,-26.48359603988206
32,33.0,-28.150281215148667
33,34.0,-29.54150773166743
34,35.0,-30.397900036029622
35,36.0,-31.649180629018403
36,37.0,-33.06344463760582
37,38.0,-34.02457691877892
38,39.0,-35.92333938064626
39,40.0,-36.9838357967202
40,41.0,-37.73767805696103
41,42.0,-38.73069328628623
42,43.0,-39.48206278785798
43,44.0,-40.850450639545755
44,45.0,-42.512114193477025
45,46.0,-43.61774702600026
46,47.0,-44.28930294435695
47,48.0,-45.211493683668685
48,49.0,-46.8587952840196
49,50.0,-47.915349601191195
50,51.0,-48.60108831134827
51,52.0,-50.112680441247974
52,53.0,-50.84528246542765
53,54.0,-51.795689265015476
54,55.0,-53.498582508847974
55,56.0,-54.710505985805725
56,57.0,-55.97919328112139
57,58.0,-56.748424241581475
58,59.0,-57.92536730894872
59,60.0,-59.02043454984952
60,61.0,-60.32390344673674
61,62.0,-61.334959038684865
62,63.0,-62.44022113061065
63,64.0,-63.95504424455157
64,65.0,-65.64532075801999
65,66.0,-66.77502557082526
66,67.0,-67.95030849591289
67,68.0,-69.7966691462753
68,69.0,-71.36163488609948
69,70.0,-72.42127048389109
70,71.0,-73.09653614093527
71,72.0,-74.06321709824431
72,73.0,-75.2722747784515
73,74.0,-76.91897057747443
74,75.0,-78.67981874267772
75,76.0,-79.88554752151882
76,77.0,-81.42034699738872
77,78.0,-83.3800650532707
78,79.0,-84.7611814320005
79,80.0,-85.84243442970141
80,81.0,-87.85705664520268
81,82.0,-89.39208668335411
82,83.0,-90.7738411555321
83,84.0,-92.74728671568135
84,85.0,-94.46651447199184
85,86.0,-96.2377220988187
86,87.0,-97.69179483928147
87,88.0,-99.1692365040102
88,89.0,-100.85202301082306
89,90.0,-102.01866323545451
90,91.0,-103.40451561184231
91,92.0,-105.21214977149819
92,93.0,-107.01705440310263
93,94.0,-108.49902938421786
94,95.0,-110.42162417790331
95,96.0,-112.56169019187504
96,97.0,-114.51829149938578
97,98.0,-116.64140403337989
98,99.0,-118.47955077934718
99,100.0,-119.87424623563805
100,101.0,-122.00024667850346
101,102.0,-123.5500961529781
102,103.0,-125.51910798256093
103,104.0,-126.89211829746543
104,105.0,-128.4146467708562
105,106.0,-130.46207054115027
106,107.0,-132.19841372573754
107,108.0,-133.4469168707047
108,109.0,-134.62315821767683
109,110.0,-136.52255760973796
110,111.0,-137.85133374704986
111,112.0,-138.90317128354968
112,113.0,-140.07208012223617
113,114.0,-141.206618198837
114,115.0,-142.91721776440463
115,116.0,-144.19747002028996
116,117.0,-145.83871437156455
117,118.0,-147.69564424966018
118,119.0,-149.428749193228
119,120.0,-150.96337859112361
120,121.0,-152.29003357038732
121,122.0,-153.19943942964022
122,123.0,-154.14107303823207
123,124.0,-155.34307422144553
124,125.0,-156.6452188981092
125,126.0,-157.56473242650088
126,127.0,-159.29947518881917
127,128.0,-161.09190403048058
128,129.0,-163.00728273696603
129,130.0,-164.0660525499664
130,131.0,-165.2934686797273
131,132.0,-167.12162589734356
132,133.0,-168.78854562011537
133,134.0,-169.889917020987
134,135.0,-171.22883761322325
135,136.0,-172.29664018451336
136,137.0,-173.95570455436084
137,138.0,-175.68714678975843
138,139.0,-177.46674867598523
139,140.0,-179.44208444936186
140,141.0,-181.15297832646382
141,142.0,-182.36288144082147
142,143.0,-184.12773913152606
143,144.0,-185.31832774868056
144,145.0,-186.88652681257025
145,146.0,-187.9316886310968
146,147.0,-189.4077340790303
147,148.0,-191.1134390862269
148,149.0,-192.99277275867252
149,150.0,-194.74839236557395
150,151.0,-196.73595820696116
151,152.0,-197.7706832151742
152,153.0,-199.04269093037044
153,154.0,-200.63829793254496
154,155.0,-202.1397998209823
155,156.0,-203.77045032287904
156,157.0,-204.90698633310066
157,158.0,-206.14716725860507
158,159.0,-207.68685591875388
159,160.0,-209.28903246986917
160,161.0,-211.16447752916264
161,162.0,-212.72198883822335
162,163.0,-214.795134763563
163,164.0,-216.00429433827838
164,165.0,-217.28602495563098
165,166.0,-218.49261741185126
166,167.0,-220.66428597547264
167,168.0,-222.08183526362956
168,169.0,-224.27646048193367
169,170.0,-225.74818601628107
170,171.0,-227.3052991109348
171,172.0,-228.93093543363972
172,173.0,-230.51202217247203
173,174.0,-231.8861009922536
174,175.0,-233.56970882210447
175,176.0,-235.84780483229508
176,177.0,-238.07360237792417
177,178.0,-239.58627165075987
178,179.0,-241.5886963657985
179,180.0,-243.16175447057046
180,181.0,-245.36063747655265
181,182.0,-246.8850192851296
182,183.0,-248.8547069999198
183,184.0,-251.0857358166685
184,185.0,-253.45046817828268
185,186.0,-255.88666120779087
186,187.0,-257.99263025535436
187,188.0,-260.50155895422824
188,189.0,-262.05020096647604
189,190.0,-263.97653413604246
190,191.0,-266.1263886559102
191,192.0,-267.94622292387385
192,193.0,-269.5810204904658
193,194.0,-271.88650957654903
194,195.0,-273.7870613624211
195,196.0,-276.09944125816463
196,197.0,-277.52407791936173
197,198.0,-279.31905298502477
198,199.0,-280.43433203035886
199,200.0,-281.6348553191931
200,201.0,-282.9378082271729
201,202.0,-283.9626676630218
202,203.0,-284.98171901245917
203,204.0,-286.497317850641
204,205.0,-287.9076014585653
205,206.0,-288.62265531713604
206,207.0,-289.1023055453664
207,208.0,-289.6176368448512
208,209.0,-290.2178148425454
209,210.0,-290.63071795462304
210,211.0,-291.65100294595265
211,212.0,-292.1791050490253
212,213.0,-292.5901310505792
213,214.0,-293.7622758602486
214,215.0,-294.86165984647107
215,216.0,-295.3770709602138
216,217.0,-296.1649946620573
217,218.0,-297.43537493231247
218,219.0,-298.8345445707148
219,220.0,-300.2271870951731
220,221.0,-301.8939932165232
221,222.0,-303.22664956733007
222,223.0,-304.37954444548427
223,224.0,-306.3355608462004
224,225.0,-308.01924551488173
225,226.0,-309.2489580397619
226,227.0,-310.4980917387536
227,228.0,-312.1298199741423
228,229.0,-313.3052727115031
229,230.0,-314.6171682102631
230,231.0,-316.1391083463413
231,232.0,-317.1345025889795
232,233.0,-318.6964301630876
233,234.0,-320.53195792183715
234,235.0,-321.77493230948187
235,236.0,-322.89330639267956
236,237.0,-324.46215400522874
237,238.0,-325.8691496109486
238,239.0,-327.343654576449
239,240.0,-328.67766844881487
240,241.0,-329.6894171620245
241,242.0,-331.3118708863375
242,243.0,-333.27255369545014
243,244.0,-334.4632276520165
244,245.0,-335.5816374996358
245,246.0,-337.3697426363689
246,247.0,-339.1542057220465
247,248.0,-340.9027270606408
248,249.0,-342.2343535216349
249,250.0,-344.02996091415116
250,251.0,-345.8684578645468
251,252.0,-347.8172143181879
252,253.0,-349.2415642493408
253,254.0,-350.9114429231243
254,255.0,-352.0831372495287
255,256.0,-353.12257272858096
256,257.0,-354.6248407973932
257,258.0,-356.15919274455337
258,259.0,-357.4723488790916
259,260.0,-359.1310544563608
260,261.0,-360.7785422260714
261,262.0,-362.69265192279175
262,263.0,-364.42938989983026
263,264.0,-365.47703248506724
264,265.0,-366.5821387253052
265,266.0,-368.2256926926798
266,267.0,-369.4192401683922
267,268.0,-370.77954521782283
268,269.0,-371.88130890616753
269,270.0,-373.6786648097195
270,271.0,-375.089921799597
271,272.0,-376.9919510467075
272,273.0,-378.6263104758466
273,274.0,-379.8429999414158
274,275.0,-381.66290711507844
275,276.0,-383.60986117369083
276,277.0,-384.7807352977538
277,278.0,-386.1892532722619
278,279.0,-387.684558368539
279,280.0,-389.0107371141803
280,281.0,-390.90315394576555
281,282.0,-392.06116214561143
282,283.0,-393.305431024132
283,284.0,-394.3455910172087
284,285.0,-395.89692265981347
285,286.0,-397.76766241487746
286,287.0,-399.24134400412083
287,288.0,-400.19750716102203
288,289.0,-401.8674921476047
289,290.0,-402.9212636482831
290,291.0,-404.22894599568144
291,292.0,-406.17269952313893
292,293.0,-408.1714123866633
293,294.0,-409.4016037008869
294,295.0,-411.25721943445353
295,296.0,-412.9627355251848
296,297.0,-414.40927718081423
297,298.0,-415.7993520808666
298,299.0,-417.17646685489035
299,300.0,-418.89576475727296
