,timestep,reward
0,1.0,-23.62636020781104
1,2.0,-9.59539423571837
2,3.0,-25.29440509585182
3,4.0,-26.440632113149366
4,5.0,-31.675554256982352
5,6.0,-34.10636170993809
6,7.0,-35.52953768564136
7,8.0,-33.759706962034436
8,9.0,-25.07478875932803
9,10.0,-19.818225637554008
10,11.0,-24.589566110515356
11,12.0,-27.46820078615112
12,13.0,-29.892480710153777
13,14.0,-32.09862090670868
14,15.0,-36.57233039309638
15,16.0,-41.60727411062019
16,17.0,-46.62890444268523
17,18.0,-51.32688631543163
18,19.0,-56.33017693574591
19,20.0,-61.892312868812326
20,21.0,-68.10099424355863
21,22.0,-74.1392295666528
22,23.0,-78.93244854533994
23,24.0,-81.36767244221845
24,25.0,-81.63402930775288
25,26.0,-79.14647765555969
26,27.0,-74.20298901869408
27,28.0,-69.37136574299569
28,29.0,-65.35228112700806
29,30.0,-62.38144347006317
30,31.0,-61.311845559153106
31,32.0,-60.307108449877305
32,33.0,-55.3198891241409
33,34.0,-36.2990463719438
34,35.0,-56.335856571970524
35,36.0,-66.03263912199982
36,37.0,-72.74443889794426
37,38.0,-76.94552461387482
38,39.0,-79.53343399064968
39,40.0,-80.48544260357795
40,41.0,-80.84075744181908
41,42.0,-81.35558062040475
42,43.0,-81.99990441452664
43,44.0,-83.63582812052034
44,45.0,-86.2612692844038
45,46.0,-88.82470162084218
46,47.0,-90.90724915227494
47,48.0,-94.19609319083074
48,49.0,-96.78703363374296
49,50.0,-99.3567374350213
50,51.0,-102.35673931421879
51,52.0,-104.55271450189885
52,53.0,-107.0765099218755
53,54.0,-109.28456911115327
54,55.0,-111.14355524545934
55,56.0,-112.93255783002142
56,57.0,-115.24812613609474
57,58.0,-117.95656962884578
58,59.0,-121.37721499151114
59,60.0,-125.4228596767025
60,61.0,-131.41760251783617
61,62.0,-140.23656882272198
62,63.0,-155.90326091101977
63,64.0,-154.2670297366796
64,65.0,-144.38182615302082
65,66.0,-139.87090204829371
66,67.0,-137.26788287414823
67,68.0,-136.67338396941486
68,69.0,-136.33750626269762
69,70.0,-136.62342023451845
70,71.0,-137.40168781108864
71,72.0,-138.89115814293376
72,73.0,-140.21549896812124
73,74.0,-141.9528784138859
74,75.0,-143.70909839247398
75,76.0,-145.23480028004005
76,77.0,-146.3842876319233
77,78.0,-148.25946011232782
78,79.0,-150.0730813907402
79,80.0,-151.3388843073699
80,81.0,-152.55072025920194
81,82.0,-153.95995336509552
82,83.0,-155.12201254970168
83,84.0,-156.14035717020428
84,85.0,-157.4213953705665
85,86.0,-159.40327005495917
86,87.0,-161.29634060025933
87,88.0,-162.50532725523811
88,89.0,-164.29186847695414
89,90.0,-166.05072498047258
90,91.0,-167.52416374238373
91,92.0,-168.88312334292948
92,93.0,-170.77922306350166
93,94.0,-172.4695243077474
94,95.0,-173.67247439013883
95,96.0,-175.6986599806483
96,97.0,-177.08095692757016
97,98.0,-178.32418348065696
98,99.0,-179.98634686422963
99,100.0,-181.13113251202708
100,101.0,-182.36802190427585
101,102.0,-183.71218175114458
102,103.0,-184.94410346872885
103,104.0,-186.10841965885663
104,105.0,-187.49876714162903
105,106.0,-189.1502220826592
106,107.0,-190.65733941758816
107,108.0,-192.34893063946126
108,109.0,-193.8728671846934
109,110.0,-195.37878433662192
110,111.0,-196.96205053843096
111,112.0,-198.49289615578294
112,113.0,-199.570360048035
113,114.0,-201.38180549330616
114,115.0,-202.5923046353217
115,116.0,-204.4658375351422
116,117.0,-205.59644488559647
117,118.0,-207.54885070194672
118,119.0,-208.77554918582797
119,120.0,-210.4911073894056
120,121.0,-211.76598519185762
121,122.0,-213.26375721680634
122,123.0,-214.65752052832303
123,124.0,-216.48647734490063
124,125.0,-217.64115863748222
125,126.0,-218.8815929945066
126,127.0,-220.3164227527406
127,128.0,-222.00038308635263
128,129.0,-223.0931172588279
129,130.0,-224.3805069756392
130,131.0,-226.40617537333276
131,132.0,-228.15835138710372
132,133.0,-229.22044243102388
133,134.0,-230.25852188824103
134,135.0,-231.32215056867796
135,136.0,-233.05166493897633
136,137.0,-234.3351907851869
137,138.0,-235.6660789813643
138,139.0,-237.10532175441625
139,140.0,-238.5076197856703
140,141.0,-240.4160885662132
141,142.0,-241.6906661410145
142,143.0,-243.08634483989715
143,144.0,-244.7298207564295
144,145.0,-245.91612798660088
145,146.0,-247.65625157737983
146,147.0,-248.68641231027914
147,148.0,-249.72092682634928
148,149.0,-250.73838049189334
149,150.0,-252.02340157232308
150,151.0,-253.13416749880423
151,152.0,-254.7388552283626
152,153.0,-256.50911815443214
153,154.0,-257.58078399364774
154,155.0,-259.0688251633342
155,156.0,-260.7599321255164
156,157.0,-262.51220713996446
157,158.0,-263.406762996014
158,159.0,-264.29580148575405
159,160.0,-265.56801485813605
160,161.0,-266.56103978897363
161,162.0,-268.24378939075456
162,163.0,-269.51897125975165
163,164.0,-270.28680436312703
164,165.0,-271.75617443953956
165,166.0,-272.5295828317958
166,167.0,-273.5957777471973
167,168.0,-275.1821005648055
168,169.0,-276.0907345698417
169,170.0,-277.3206246937146
170,171.0,-278.3871925270554
171,172.0,-279.2835233031921
172,173.0,-280.64350443092434
173,174.0,-281.7411224206981
174,175.0,-282.5989925349376
175,176.0,-283.8298271855023
176,177.0,-285.67363618222794
177,178.0,-287.04967899430096
178,179.0,-288.14225652380435
179,180.0,-289.07341186718367
180,181.0,-290.4802749314159
181,182.0,-291.66328377521063
182,183.0,-292.7217210297378
183,184.0,-294.1905474846367
184,185.0,-295.3493173966433
185,186.0,-296.9073865489058
186,187.0,-298.6075206220195
187,188.0,-299.8693340962693
188,189.0,-301.11962979538305
189,190.0,-303.0228015599514
190,191.0,-304.4398059194997
191,192.0,-305.90222407185865
192,193.0,-307.6761932682601
193,194.0,-310.2719791313557
194,195.0,-313.0109361575145
195,196.0,-315.6073814774222
196,197.0,-318.7563250543163
197,198.0,-320.7749494098616
198,199.0,-322.32007306028754
199,200.0,-323.16100998337106
200,201.0,-324.4282480395921
201,202.0,-325.3261346250945
202,203.0,-326.26223627757827
203,204.0,-327.3213109624663
204,205.0,-328.8769187626406
205,206.0,-330.0901073099392
206,207.0,-331.67268388772663
207,208.0,-333.09181981503525
208,209.0,-334.7262238198757
209,210.0,-336.0258232971306
210,211.0,-337.11611717646747
211,212.0,-338.6106713147791
212,213.0,-340.60254807833167
213,214.0,-342.1441101254975
214,215.0,-343.48995215550605
215,216.0,-344.88143050858986
216,217.0,-346.2939216551471
217,218.0,-347.85135542777886
218,219.0,-349.84840021218076
219,220.0,-351.1578229873496
220,221.0,-352.6505831634606
221,222.0,-354.0378147470277
222,223.0,-355.92094066570496
223,224.0,-357.5030257449782
224,225.0,-359.05890926048664
225,226.0,-360.6056563543149
226,227.0,-362.677889584976
227,228.0,-364.1563531088166
228,229.0,-366.27832856555193
229,230.0,-367.7230274340172
230,231.0,-369.4698229378565
231,232.0,-371.2704438160761
232,233.0,-372.8694100979443
233,234.0,-374.6698338464998
234,235.0,-376.04272891276287
235,236.0,-378.0371438852789
236,237.0,-379.6483792226571
237,238.0,-380.9662561481251
238,239.0,-383.11898446970037
239,240.0,-385.36347591031057
240,241.0,-386.8539603935376
241,242.0,-388.8134419862706
242,243.0,-390.5504627350132
243,244.0,-392.6353533662856
244,245.0,-394.3302800087965
245,246.0,-396.7246897086809
246,247.0,-398.70097574715635
247,248.0,-401.12111384332485
248,249.0,-403.8300109744124
249,250.0,-406.62183257942047
250,251.0,-408.8642294639321
251,252.0,-411.4396876538187
252,253.0,-413.1137088285173
253,254.0,-415.72045752502095
254,255.0,-417.62068012164565
255,256.0,-419.8065919541067
256,257.0,-421.506904318911
257,258.0,-423.93214025337636
258,259.0,-425.5655597742691
259,260.0,-427.65063808214677
260,261.0,-429.2826606994819
261,262.0,-430.32860513982496
262,263.0,-431.8926972727801
