,timestep,reward
0,1.0,17.894483479594093
1,2.0,26.466158707228296
2,3.0,26.25066759232513
3,4.0,22.36509654013926
4,5.0,22.191764855913146
5,6.0,23.97102897807352
6,7.0,23.93452158383035
7,8.0,22.189380453074342
8,9.0,19.928830613089232
9,10.0,15.919295412604423
10,11.0,10.594504084806646
11,12.0,5.731796559308778
12,13.0,2.5005479489371445
13,14.0,-0.06436704881220123
14,15.0,-1.78706984019175
15,16.0,-2.187383119586581
16,17.0,-2.519770380260623
17,18.0,-1.5884438494730229
18,19.0,1.2280741388598035
19,20.0,5.833051110773761
20,21.0,10.224666375363354
21,22.0,11.548806102843768
22,23.0,9.598164387055283
23,24.0,4.80625314892829
24,25.0,-0.030207788752224296
25,26.0,-4.976112849215764
26,27.0,-9.360672203613525
27,28.0,-13.263868302187252
28,29.0,-16.882492849877117
29,30.0,-19.089871333965164
30,31.0,-21.445487064686333
31,32.0,-23.199340574168446
32,33.0,-25.404719876695964
33,34.0,-27.1895105527351
34,35.0,-29.486362285859123
35,36.0,-31.464928581471757
36,37.0,-33.417840007963036
37,38.0,-35.19802812832869
38,39.0,-36.77892379752989
39,40.0,-38.93797365897752
40,41.0,-41.10282526950182
41,42.0,-43.645388843910105
42,43.0,-45.799066984642614
43,44.0,-47.48047513885723
44,45.0,-49.04141863912422
45,46.0,-50.58153617297409
46,47.0,-52.62770349454181
47,48.0,-54.217554314328105
48,49.0,-56.20873846722947
49,50.0,-57.61861238960467
50,51.0,-60.14459432737983
51,52.0,-62.519665022801554
52,53.0,-64.84059953039942
53,54.0,-67.18117259910925
54,55.0,-69.2278506815967
55,56.0,-71.348131153599
56,57.0,-74.0581431016882
57,58.0,-76.73005119926916
58,59.0,-79.57210930033423
59,60.0,-81.82282457945456
60,61.0,-83.85655139194203
61,62.0,-86.17716521464325
62,63.0,-88.60139354401166
63,64.0,-90.66757259407086
64,65.0,-93.02806430948542
65,66.0,-96.25435384139334
66,67.0,-99.7570596324462
67,68.0,-103.85713457112412
68,69.0,-110.02312535554559
69,70.0,-120.22856900687844
70,71.0,-126.87865863731467
71,72.0,-115.65745784556522
72,73.0,-111.84031170360282
73,74.0,-110.06153684495283
74,75.0,-109.71179548252388
75,76.0,-109.52511937583766
76,77.0,-109.2873551521178
77,78.0,-110.40596995947921
78,79.0,-111.53870333034276
79,80.0,-112.53651320937726
80,81.0,-113.04758426421625
81,82.0,-113.70896566249603
82,83.0,-114.43827357860286
83,84.0,-115.14925141026433
84,85.0,-116.46894732604153
85,86.0,-117.13233004992944
86,87.0,-118.01244882376265
87,88.0,-119.30724086987851
88,89.0,-120.60519222014462
89,90.0,-122.0164599874398
90,91.0,-122.79831837678093
91,92.0,-123.73095085022192
92,93.0,-124.72905097394349
93,94.0,-126.02959184772102
94,95.0,-126.92731374684107
95,96.0,-128.45044371610385
96,97.0,-129.5942241385321
97,98.0,-130.94364987579496
98,99.0,-132.52174450066397
99,100.0,-134.21810888682654
100,101.0,-135.88345247978083
101,102.0,-137.79202942596586
102,103.0,-138.99250166470216
103,104.0,-140.69755858194674
104,105.0,-142.5459941052854
105,106.0,-144.58527476594142
106,107.0,-145.92700054286166
107,108.0,-147.57775661298083
108,109.0,-149.3879030009543
109,110.0,-151.50356471410754
110,111.0,-153.62944197247128
111,112.0,-155.85465280171832
112,113.0,-157.69267824969162
113,114.0,-159.7915400577528
114,115.0,-161.84337702678536
115,116.0,-162.96113316999933
116,117.0,-164.56188423920997
117,118.0,-166.13221272707207
118,119.0,-167.4245406287862
119,120.0,-169.2679218575555
120,121.0,-170.862814030841
121,122.0,-172.1439181307677
122,123.0,-173.31418633467862
123,124.0,-174.33775652742676
124,125.0,-175.86006373676258
125,126.0,-177.40870499950077
126,127.0,-179.00400161836478
127,128.0,-180.2604574791805
128,129.0,-181.48010496905067
129,130.0,-182.7828786177264
130,131.0,-184.1341195929121
131,132.0,-185.53430445335331
