,timestep,reward
0,0,6.9034527
1,1,-19.32037475
2,2,11.98584987
3,3,14.08581632
4,4,4.861959265
5,5,-0.380835052
6,6,0.425908208
7,7,2.651145299
8,8,0.107056628
9,9,-0.478346518
10,10,-1.43375307
11,11,-2.042407674
12,12,-0.464874127
13,13,0.453085426
14,14,0.473941999
15,15,0.581680778
16,16,0.048266437
17,17,-0.175812982
18,18,0.083540381
19,19,-0.097136908
20,20,-0.005941695
21,21,0.104098179
22,22,-1.104603576
23,23,-0.993834699
24,24,-0.603232444
25,25,-1.363995475
26,26,-1.425812197
27,27,-0.674471124
28,28,-0.044253913
29,29,0.507239569
30,30,1.06217953
31,31,0.06557928
32,32,-1.3864198
33,33,-1.103733998
34,34,0.095263334
35,35,-0.150744309
36,36,-0.067908055
37,37,1.307746727
38,38,1.6276929
39,39,1.397529933
40,40,1.245138228
41,41,1.782321699
42,42,2.56982276
43,43,2.54131261
44,44,2.13505185
45,45,2.306667705
46,46,2.815362956
47,47,3.244518504
48,48,4.047416778
49,49,5.430863412
50,50,7.501396905
51,51,11.15299238
52,52,6.874956351
53,53,-11.29962078
54,54,-5.976242327
55,55,-4.344007359
56,56,-3.224198614
57,57,-2.688063066
58,58,-2.008759785
59,59,-1.63519638
60,60,-1.398408814
61,61,-0.904005351
62,62,-0.531752154
63,63,-0.272867646
64,64,0.012394179
65,65,0.240458721
66,66,0.302380393
67,67,0.438033956
68,68,0.459936799
69,69,0.274862273
70,70,0.302380139
71,71,0.598920048
72,72,0.500628736
73,73,0.285706057
74,74,0.151702095
75,75,0.187714488
76,76,0.159100505
77,77,-0.103255737
78,78,-0.147309636
79,79,-0.182652805
80,80,-0.129400095
81,81,0.022563767
82,82,0.175952117
83,83,0.227108808
84,84,0.256111885
85,85,0.291380757
86,86,0.321615334
87,87,0.305220565
88,88,0.197738518
89,89,0.049464645
90,90,-0.051212156
91,91,-0.128510497
92,92,-0.187014984
93,93,-0.228997691
94,94,-0.228490979
95,95,-0.18521128
96,96,-0.086276176
97,97,-0.033638036
98,98,-0.031587793
99,99,-0.039310684
100,100,-0.049682046
101,101,-0.047643852
102,102,-0.033052014
103,103,-0.029851529
104,104,-0.357554622
105,105,-0.178374285
106,106,-0.151728628
107,107,-0.269080968
108,108,-0.246101339
109,109,-0.239181551
110,110,-0.2757739
111,111,-0.327570426
112,112,-0.368787906
113,113,-0.380325237
114,114,-0.504056138
115,115,-0.49196724
116,116,-0.740353745
117,117,-0.780171128
118,118,-0.659412149
119,119,-0.580971317
120,120,-0.762851976
121,121,-0.831696861
122,122,-0.881130089
123,123,-0.967526965
124,124,-0.752427069
125,125,-0.834552347
126,126,-0.959078453
127,127,-1.033860686
128,128,-1.102431496
129,129,-1.228417899
130,130,-1.210885116
131,131,-1.151276938
132,132,-1.127961444
133,133,-1.152355416
134,134,-1.139660985
135,135,-1.213097252
136,136,-1.316269089
137,137,-1.352821657
138,138,-1.461690392
139,139,-1.7085451
140,140,-1.763517113
141,141,-1.723047349
142,142,-1.679805556
143,143,-1.810676716
144,144,-1.878665003
145,145,-1.957341156
146,146,-1.991711821
147,147,-1.932940478
148,148,-2.078097735
149,149,-2.020425035
150,150,-2.039723819
151,151,-2.11675125
152,152,-2.185284611
153,153,-2.179946376
154,154,-2.24441967
155,155,-2.464881117
156,156,-2.386775369
157,157,-2.328641978
158,158,-2.4247014
159,159,-2.485055279
160,160,-2.462388284
161,161,-0.428988677
162,162,21.39904796
163,163,9.862516734
164,164,7.141497227
165,165,4.18575243
166,166,-2.345175377
167,167,-5.24807117
168,168,-4.23959131
169,169,-3.349038807
170,170,-3.809949573
171,171,-2.244375686
172,172,-1.533200739
173,173,-1.092086138
174,174,-1.792162898
175,175,-2.710305604
176,176,-2.905263199
177,177,-4.55873027
178,178,-2.570317013
179,179,-0.578536776
180,180,2.616371348
181,181,2.853395611
182,182,2.623153417
183,183,2.189578483
184,184,1.507752091
185,185,0.74907902
186,186,0.002564191
187,187,-0.234478408
