,timestep,reward
0,0,-22.82454785
1,1,16.38492174
2,2,-17.27018682
3,3,-5.019924226
4,4,-5.305497683
5,5,1.338439315
6,6,2.13330735
7,7,1.978026026
8,8,5.204202218
9,9,0.5108213
10,10,-2.718452813
11,11,-1.820761718
12,12,-3.154495443
13,13,-5.881669858
14,14,-5.543665627
15,15,-2.515818472
16,16,-0.571554417
17,17,0.520449825
18,18,-1.043615102
19,19,-0.813454446
20,20,-1.143424126
21,21,-2.010325623
22,22,-1.598857612
23,23,-1.527527112
24,24,-1.674262031
25,25,-0.430124103
26,26,-0.988417837
27,27,-2.787679006
28,28,-2.337878984
29,29,-2.051643126
30,30,-1.689774019
31,31,-1.953084535
32,32,-1.615731676
33,33,-1.66916497
34,34,-2.401041351
35,35,-2.733502802
36,36,-2.092406426
37,37,-2.431183272
38,38,-2.215983447
39,39,-2.086013538
40,40,-1.068670978
41,41,-1.716565341
42,42,-1.708115324
43,43,-1.773266929
44,44,-1.7015115
45,45,-1.966565167
46,46,-2.654221085
47,47,-2.34049275
48,48,-1.546992346
49,49,-2.182553387
50,50,-2.143575573
51,51,-1.573856206
52,52,-2.336573289
53,53,-2.562406887
54,54,-2.309019715
55,55,-2.819578516
56,56,-2.55445746
57,57,-2.907399981
58,58,-2.879291565
59,59,-3.582773325
60,60,-3.446467344
61,61,-4.09440788
62,62,-5.129782163
63,63,-5.738565336
64,64,-7.856986159
65,65,-10.51227965
66,66,-4.987401746
67,67,4.905185371
68,68,5.162799069
69,69,4.237475516
70,70,2.667150237
71,71,1.454244773
72,72,0.605878285
73,73,-0.601137462
74,74,-0.47954979
75,75,-0.831173443
76,76,-0.501088827
77,77,-1.04757789
78,78,-1.121517372
79,79,-1.632800738
80,80,-1.041486771
81,81,-1.512916443
82,82,-1.075066804
83,83,-1.761114878
84,84,-1.851865917
85,85,-1.701889289
86,86,-1.199339579
87,87,-1.191347991
88,88,-2.00565614
89,89,-1.214792573
90,90,-1.673466702
91,91,-1.585148874
92,92,-0.976545437
93,93,-1.22084754
94,94,-1.240686641
95,95,-1.042128628
96,96,-1.291371985
97,97,-1.397998199
98,98,-1.165422632
99,99,-1.185607956
100,100,-1.174357351
101,101,-1.843619432
102,102,-1.008788707
103,103,-1.403822738
104,104,-1.22668806
105,105,-1.673507398
106,106,-1.135657638
107,107,-1.431716844
108,108,-1.66012581
109,109,-1.642912687
110,110,-1.141694305
111,111,-1.134168267
112,112,-1.62841267
113,113,-1.093680786
114,114,-1.468886717
115,115,-1.593199633
116,116,-2.003149285
117,117,-1.893214878
118,118,-1.498793484
119,119,-1.29976906
120,120,-1.654051835
121,121,-1.320035748
122,122,-1.315151459
123,123,-1.469476925
124,124,-1.102694406
125,125,-1.644867436
126,126,-1.214115397
127,127,-2.001962603
128,128,-1.151263773
129,129,-1.518869759
130,130,-1.730183302
131,131,-1.368631399
132,132,-1.283244834
133,133,-1.361036567
134,134,-1.941907477
135,135,-1.790401582
136,136,-1.751224493
137,137,-1.25729137
138,138,-2.00504704
139,139,-1.917739941
140,140,-2.013489501
141,141,-1.935598801
142,142,-1.13180228
143,143,-1.047860196
144,144,-1.933755263
145,145,-1.196234989
146,146,-1.619631385
147,147,-0.993546247
148,148,-1.695509968
149,149,-1.484250958
150,150,-1.876512533
151,151,-1.281662977
152,152,-1.749978496
153,153,-1.474078797
154,154,-1.768495502
155,155,-1.893133027
156,156,-1.472977925
157,157,-1.413853603
158,158,-1.828423643
159,159,-1.19555277
160,160,-1.15090168
161,161,-1.384895196
162,162,-1.60945973
163,163,-1.290469718
164,164,-1.891272572
165,165,-1.243956509
166,166,-1.820933901
167,167,-1.56920103
168,168,-1.384765248
169,169,-1.839488682
170,170,-1.190478624
171,171,-1.462767724
172,172,-1.426720967
173,173,-1.957659306
174,174,-1.432792206
175,175,-1.363387678
176,176,-1.245140293
177,177,-1.541086108
178,178,-1.260678674
179,179,-1.700704994
180,180,-1.55555754
181,181,-1.762428281
182,182,-1.105921698
183,183,-1.516672401
184,184,-1.09460717
185,185,-1.960460928
186,186,-1.714106632
187,187,-1.249451964
188,188,-1.683918208
189,189,-1.750314828
190,190,-1.560496104
191,191,-1.924581996
192,192,-1.70003455
193,193,-1.822325912
194,194,-1.376238943
195,195,-1.2072144
196,196,-1.45597855
197,197,-1.298351548
198,198,-1.124056771
199,199,-1.162982288
200,200,-1.130225531
201,201,-1.229738928
202,202,-1.592759052
203,203,-1.881159601
204,204,-1.563694986
205,205,-1.406002564
206,206,-1.167563421
207,207,-1.755730686
208,208,-1.71284532
209,209,-1.093133214
210,210,-1.201792987
211,211,-1.634851569
212,212,-1.35321896
213,213,-1.83835196
214,214,-1.231017852
215,215,-1.744174268
216,216,-0.991276925
217,217,-1.162106385
218,218,-0.992049541
219,219,-1.741960981
220,220,-1.617497433
221,221,-0.948544323
222,222,-1.580198559
223,223,-1.444836557
224,224,-1.230266152
225,225,-1.43686697
226,226,-1.177655354
227,227,-1.460356282
228,228,-1.31043366
229,229,-1.724760995
230,230,-1.32203227
231,231,-1.533712668
232,232,-1.333578943
233,233,-0.921595359
234,234,-0.933917164
235,235,-1.140975869
236,236,-1.712797434
237,237,-1.001230609
238,238,-1.473534029
239,239,-0.850754406
240,240,-1.057701176
241,241,-1.187442367
242,242,-1.114565677
243,243,-1.1778642
244,244,-1.234776212
245,245,-0.880123543
246,246,-0.8748785
247,247,-1.472072301
248,248,-0.921510898
249,249,-1.736299432
250,250,-1.671239996
251,251,-1.144734301
252,252,-1.456273352
253,253,-1.648540623
254,254,-1.746384336
255,255,-1.054034507
256,256,-0.936775681
257,257,-1.186532412
258,258,-1.477849721
259,259,-1.243424688
260,260,-1.82809292
261,261,-1.071438192
262,262,-0.96944781
263,263,-1.090666101
264,264,-1.440348261
265,265,-1.73215437
266,266,-1.774826664
267,267,-1.247546959
268,268,-1.530593716
269,269,-1.707583137
270,270,-1.093315179
271,271,-1.580013685
272,272,-1.363452477
273,273,-1.375924267
274,274,-1.959982714
275,275,-1.012228662
276,276,-1.208563193
277,277,-1.567525369
278,278,-1.437107104
279,279,-1.164939362
280,280,-1.412338643
281,281,-1.292118462
282,282,-1.088118632
283,283,-1.262204682
284,284,-1.477576348
285,285,-1.678574015
286,286,-1.250050954
287,287,-1.377100656
288,288,-1.555663113
289,289,-1.894039571
290,290,-1.843695503
291,291,-1.417072766
292,292,-1.109525134
293,293,-1.298746173
294,294,-1.884704686
295,295,-1.57164769
296,296,-1.577073032
297,297,-1.342368533
298,298,-2.03659455
299,299,-2.102771013
300,300,-2.0874
